站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
C0G640,鹿港,鹿港鎮海埔里顏厝巷67號(行政院退輔會魚殖管理處彰化分場內),自動站,中部,1992/5/5,2024/1/8,彰化縣,120.430481,24.0753,17,原（C0G640）氣象站於2024/01/08改為農業站（C2G640）。,,C2G640,已撤站
C0G650,員林,員林市萬年里明倫路2號(明倫國中內),自動站,中部,1992/5/6,,彰化縣,120.585597,23.946503,34,本站於2011/3/10進⾏儀器汰換，於2011/11/1完成驗收。,,,運行中
C0G660,溪湖,溪湖鎮大竹里彰水路2段725號(湖南國民小學內),自動站,中部,2011/11/1,,彰化縣,120.479122,23.94835,27,原(C1G660)站因擴充為氣象站，於2011/11/1升級為(C0G660)站。,C1G660,,運行中
C0G710,台西,大城鄉臺西村許厝巷2之10號旁,自動站,中部,1992/5/7,2015/5/25,彰化縣,120.2798,23.848489,64,,,,已撤站
C0G720,溪州,溪州鄉溪下路四段560號(溪州鄉公所),自動站,中部,2015/3/12,,彰化縣,120.499093,23.851589,50,,,,運行中
C0G730,二林,二林鎮仁愛路200號(二林消防分隊),自動站,中部,2015/7/1,,彰化縣,120.376081,23.903325,27,原中西(C1G700)站因移位及擴充為氣象站，於2015/7/1升級為(C0G730)站，站名更變為⼆林。,C1G700,,運行中
C0G740,大城,大城鄉東城村中平路185號(大城鄉公所),自動站,中部,2015/3/9,,彰化縣,120.320935,23.852487,24,,,,運行中
C0G750,竹塘,竹塘鄉永安村東陽路二段221號(永安派出所),自動站,中部,2015/3/4,2022/1/4,彰化縣,120.382486,23.846617,31,,,,已撤站
C0G760,高鐵彰化,田中鎮站區路二段99號(高鐵彰化站外),自動站,中部,2017/8/1,2021/12/28,彰化縣,120.574608,23.875247,53,,,,已撤站
C0G770,福興,福興鄉員鹿路二段270號(福興國中),自動站,中部,2011/6/2,,彰化縣,120.437669,24.041289,15,於2024/01/08完成儀器汰換,,,運行中
C0G780,秀水,秀水鄉安東村中山路257號(秀水國小),自動站,中部,2011/8/1,,彰化縣,120.503869,24.03405,27,,,,運行中
C0G790,花壇,花壇鄉中庄村中橋街226號(華南國小),自動站,中部,2011/4/10,2019/12/20,彰化縣,120.552328,24.016069,27,,,,已撤站
C0G800,埔鹽,埔鹽鄉永樂村永樂路600號(永樂國小),自動站,中部,2011/4/12,,彰化縣,120.431683,24.000394,15,,,,運行中
